Vernacular name,International name,Scientific name,Category,Sort
Robin,European Robin,Erithacus rubecula,A,485
Siberian Blue Robin,,Larvivora cyane,A,486
Rufous-tailed Robin,,Larvivora sibilans,A,487
White-throated Robin,,Irania gutturalis,A,488
Thrush Nightingale,,Luscinia luscinia,A,489
Nightingale,Common Nightingale,Luscinia megarhynchos,A,490
Bluethroat,,Luscinia svecica,A,491
Siberian Rubythroat,,Calliope calliope,A,492
Red-flanked Bluetail,,Tarsiger cyanurus,AE,493
Red-breasted Flycatcher,,Ficedula parva,A,494
Taiga Flycatcher,,Ficedula albicilla,A,495
Collared Flycatcher,,Ficedula albicollis,A,496
Pied Flycatcher,European Pied Flycatcher,Ficedula hypoleuca,A,497
Black Redstart,,Phoenicurus ochruros,A,498
Redstart,Common Redstart,Phoenicurus phoenicurus,A,499
Moussier's Redstart,,Phoenicurus moussieri,A,500
Rock Thrush,Common Rock Thrush,Monticola saxatilis,A,501
Blue Rock Thrush,,Monticola solitarius,AE,502
Whinchat,,Saxicola rubetra,A,503
Siberian Stonechat,Siberian Stonechat & Stejneger's Stonechat,Saxicola maurus,A,504
Stonechat,European Stonechat,Saxicola rubicola,A,505
Wheatear,Northern Wheatear,Oenanthe oenanthe,A,506
Isabelline Wheatear,,Oenanthe isabellina,A,507
Desert Wheatear,,Oenanthe deserti,A,508
Black-eared Wheatear,,Oenanthe hispanica,A,509
Pied Wheatear,,Oenanthe pleschanka,A,510
White-crowned Black Wheatear,White-crowned Wheatear,Oenanthe leucopyga,A,511
Alpine Accentor,,Prunella collaris,A,512
Dunnock,,Prunella modularis,A,513
House Sparrow,,Passer domesticus,A,514
Spanish Sparrow,,Passer hispaniolensis,A,515
Tree Sparrow,Eurasian Tree Sparrow,Passer montanus,A,516
Rock Sparrow,,Petronia petronia,A,517
Yellow Wagtail,Western and Eastern Yellow Wagtail,Motacilla flava,A,518
Citrine Wagtail,,Motacilla citreola,A,519
Grey Wagtail,,Motacilla cinerea,A,520
Pied Wagtail,White Wagtail,Motacilla alba,A,521
Richard's Pipit,,Anthus richardi,A,522
Blyth's Pipit,,Anthus godlewskii,A,523
